,Area,temperature,date,name,population,co2,electric_prod,agriculture,forest
55,Malaysia,0.533,1990.0,MYS,18029824.0,54620.0,1157.36016058726,67566.0,206185.0
61,Morocco,1.372,1990.0,MAR,24807461.0,21500.0,359.166139573897,303430.0,54852.9
62,Myanmar,0.2,1990.0,MMR,41335188.0,4080.0,44.1028597716793,104280.0,392184.8
64,Netherlands,1.563,1990.0,NLD,14951510.0,148380.0,5218.20204113163,20060.0,3453.3
66,Nicaragua,0.375,1990.0,NIC,4173435.0,1930.0,306.222572053956,40250.0,63993.2
67,Nigeria,0.637,1990.0,NGA,95212454.0,72770.0,87.0789445254714,615860.0,265260.9
68,Norway,1.524,1990.0,NOR,4241473.0,29310.0,23353.915019617,9760.0,121320.0
70,Panama,0.334,1990.0,PAN,2470946.0,2690.0,833.284094431849,21240.0,46074.0
71,Paraguay,0.063,1990.0,PRY,4223413.0,2070.0,504.331449469896,141841.4,255458.6
72,Philippines,0.398,1990.0,PHL,61895169.0,41080.0,361.045948513365,111400.0,77788.1
73,Poland,1.712,1990.0,POL,38110782.0,350210.0,3272.30231066893,187930.0,88820.0
77,Saudi Arabia,0.075,1990.0,SAU,16233786.0,171410.0,4017.73190800963,1234810.0,9770.0
83,Spain,1.442,1990.0,ESP,38867322.0,214950.0,3536.74997212311,304720.0,139046.6
86,Sweden,1.695,1990.0,SWE,8558835.0,53350.0,15836.0337592675,34130.0,280630.0
87,Syrian Arab Republic,0.207,1990.0,SYR,12446168.0,32390.0,688.806386029821,134950.0,3720.8
88,Thailand,0.515,1990.0,THA,56558196.0,89220.0,709.55233437785,213830.0,193610.0
89,Togo,0.628,1990.0,TGO,3774310.0,980.0,90.8775378810961,31900.0,13616.6
91,Tunisia,1.556,1990.0,TUN,8242509.0,14540.0,631.603799280049,86440.0,6439.769
95,United Kingdom,1.0,1990.0,GBR,57247586.0,561770.0,5356.57521000099,182030.0,27780.0
96,Uruguay,0.564,1990.0,URY,3109598.0,3850.0,1244.5338593606,149170.0,7980.0
98,Zimbabwe,0.544,1990.0,ZWE,10432409.0,16540.0,865.380182084502,130100.0,188266.8
100,Algeria,0.078,1991.0,DZA,26400468.0,66430.0,532.490560394611,386220.0,16582.0
104,Australia,0.778,1991.0,AUS,17284000.0,264760.0,8522.15922240222,4627820.0,1336753.9
106,Bahrain,-0.251,1991.0,BHR,509762.0,10350.0,14214.4765596494,80.0,2.35
112,Brazil,0.458,1991.0,BRA,151648007.0,205480.0,1486.22460959873,2334802.0,5851170.6
113,Brunei Darussalam,0.398,1991.0,BRN,266208.0,3380.0,4473.94518571944,110.0,4114.0
116,Cameroon,0.612,1991.0,CMR,12137912.0,6970.0,192.290074273071,91500.0,224097.49
119,Chile,0.062,1991.0,CHL,13495255.0,29300.0,1313.94330822204,157890.0,153031.51
120,Colombia,0.44,1991.0,COL,33758328.0,50440.0,871.192435833907,448840.0,647358.76
121,Costa Rica,0.494,1991.0,CRI,3202083.0,3060.0,1121.76979797213,22036.18,29023.82
123,Cyprus,0.353,1991.0,CYP,783121.0,5110.0,2481.09806785925,1592.0,1621.6
125,Dominican Republic,0.334,1991.0,DOM,7270413.0,8230.0,401.352715450965,25460.0,16326.48
130,France,0.224,1991.0,FRA,58559309.0,380650.0,6359.77449802217,304849.0,145212.0
132,Gabon,0.043,1991.0,GAB,975785.0,4560.0,906.962086935134,20115.42,237554.58
134,Ghana,0.417,1991.0,GHA,15207360.0,2560.0,336.021505376344,127200.0,98166.95
135,Greece,-0.157,1991.0,GRC,10319927.0,75820.0,3253.22068654168,91640.0,33287.189
137,Guatemala,0.706,1991.0,GTM,9296814.0,4030.0,210.609785244709,42850.0,47240.0
139,Haiti,0.649,1991.0,HTI,7178611.0,1000.0,44.9947768447127,15960.0,3826.93
140,Honduras,0.568,1991.0,HND,5098594.0,2450.0,351.665576823728,33420.0,69668.29
141,Iceland,0.659,1991.0,ISL,257797.0,1910.0,15931.1396176061,19010.0,183.46
142,Indonesia,0.221,1991.0,IDN,184591897.0,162400.0,177.954723548889,415240.0,1168185.0
143,Iraq,0.556,1991.0,IRQ,17889457.0,45550.0,1096.17636801385,96300.0,8054.0
145,Italy,0.012,1991.0,ITA,56758521.0,404070.0,4224.74010554292,160540.0,76677.0
146,Japan,0.718,1991.0,JPN,123964000.0,1103980.0,7006.59868994224,56540.0,249426.0
151,Libya,0.314,1991.0,LBY,4544245.0,28820.0,1657.70111426651,154600.0,2170.0
154,Malaysia,0.448,1991.0,MYS,18519941.0,65100.0,1266.25673375525,67945.0,205257.85
160,Morocco,0.121,1991.0,MAR,25260407.0,23120.0,371.530039084485,303550.0,54874.15
161,Myanmar,0.489,1991.0,MMR,41890192.0,4020.0,40.8687551491767,104160.0,387834.43
163,Netherlands,0.263,1991.0,NLD,15069798.0,154510.0,5327.47685138182,19910.0,3467.47
165,Nicaragua,0.537,1991.0,NIC,4267570.0,1920.0,299.233521652838,40600.0,62993.2
166,Nigeria,0.676,1991.0,NGA,97667632.0,81930.0,89.5997969931328,639290.0,263627.85
167,Norway,0.98,1991.0,NOR,4261732.0,27330.0,23808.6299185402,10100.0,121301.0
169,Panama,0.468,1991.0,PAN,2523115.0,3120.0,877.883092922835,21340.0,45908.74
170,Paraguay,0.714,1991.0,PRY,4334348.0,2020.0,524.415667592911,144395.61,252904.39
171,Philippines,0.361,1991.0,PHL,63454785.0,40650.0,354.157688817321,111570.0,77318.55
172,Poland,0.414,1991.0,POL,38246193.0,351620.0,3088.22893823707,187530.0,88997.0
176,Saudi Arabia,0.337,1991.0,SAU,16772695.0,187930.0,4121.99709110551,1236720.0,9770.0
182,Spain,0.205,1991.0,ESP,38966376.0,222100.0,3607.70013613788,303710.0,142235.87
185,Sweden,1.026,1991.0,SWE,8617375.0,54240.0,15932.9262101278,33580.0,280730.0
186,Syrian Arab Republic,0.525,1991.0,SYR,12815400.0,35770.0,700.563384677809,135120.0,3780.8
187,Thailand,0.652,1991.0,THA,57232471.0,98070.0,792.085318140466,215160.0,193247.0
188,Togo,0.299,1991.0,TGO,3862998.0,930.0,84.9081464706945,31950.0,13523.404
190,Tunisia,0.096,1991.0,TUN,8427851.0,15030.0,643.224470864518,92100.0,6463.642
194,United Kingdom,0.193,1991.0,GBR,57424897.0,570680.0,5451.67717061817,181430.0,27956.0
195,Uruguay,0.293,1991.0,URY,3131657.0,4370.0,1344.97488071012,149210.0,8551.0
197,Zimbabwe,0.198,1991.0,ZWE,10681008.0,18300.0,856.098974928209,131800.0,187806.1
199,Algeria,-0.253,1992.0,DZA,27028330.0,66840.0,559.78301286095,388650.0,16494.0
202,Armenia,-1.278,1992.0,ARM,3442820.0,10900.0,1962.63528154246,11700.0,3343.12
203,Australia,0.215,1992.0,AUS,17495000.0,268400.0,8550.32866533295,4660040.0,1334685.8
204,Azerbaijan,-0.773,1992.0,AZE,7382050.0,63610.0,2276.06152762444,44462.0,9532.36
205,Bahrain,-0.576,1992.0,BHR,523082.0,12270.0,18498.0557541647,90.0,2.5
210,Bosnia and Herzegovina,0.671,1992.0,BIH,4233673.0,15970.0,1111.32815406386,22000.0,21903.3
211,Brazil,0.438,1992.0,BRA,154259382.0,207870.0,1494.06147627377,2320604.0,5813361.2
212,Brunei Darussalam,0.333,1992.0,BRN,273888.0,3590.0,4819.48825797406,110.0,4098.0
215,Cameroon,-0.238,1992.0,CMR,12499499.0,6850.0,188.807567407302,91600.0,223194.98
218,Chile,-0.132,1992.0,CHL,13719818.0,30320.0,1457.08929958109,155560.0,153602.52
219,Colombia,0.583,1992.0,COL,34422568.0,52510.0,778.70425007222,449830.0,645136.12
220,Costa Rica,0.325,1992.0,CRI,3286525.0,4150.0,1405.43583268041,21600.0,28973.64
221,Croatia,0.827,1992.0,HRV,4575818.0,15040.0,2227.79839582781,24040.0,18570.0
222,Cyprus,-0.953,1992.0,CYP,800610.0,5480.0,2837.83614993567,1596.0,1632.1
224,Dominican Republic,0.407,1992.0,DOM,7408339.0,9620.0,544.656501275117,25460.0,16704.06
226,Estonia,1.623,1992.0,EST,1533091.0,23820.0,4933.82323684635,13740.0,22124.98
229,France,0.621,1992.0,FRA,58851216.0,368590.0,6475.78802789733,303843.0,146064.0
231,Gabon,-0.238,1992.0,GAB,1002573.0,4530.0,885.721039764685,20177.04,237492.96
232,Georgia,-1.139,1992.0,GEO,4873500.0,20070.0,2125.1667179645,32290.0,27539.6
233,Ghana,0.157,1992.0,GHA,15653345.0,3080.0,350.915411370541,127200.0,97091.3
234,Greece,-0.487,1992.0,GRC,10399061.0,78180.0,3398.38375791814,91670.0,33588.867
236,Guatemala,0.533,1992.0,GTM,9544055.0,4830.0,260.895395091499,42850.0,46668.0
238,Haiti,0.463,1992.0,HTI,7319491.0,900.0,40.30334896238,15750.0,3824.66
239,Honduras,0.562,1992.0,HND,5244677.0,2730.0,328.523567800267,33550.0,69458.78
240,Iceland,0.115,1992.0,ISL,261057.0,1940.0,16099.9321987152,19010.0,196.22
241,Indonesia,0.304,1992.0,IDN,187739786.0,171510.0,194.332809136152,413510.0,1150920.0
242,Iraq,-1.244,1992.0,IRQ,18402740.0,67340.0,1310.45702976839,95500.0,8068.0
244,Italy,0.522,1992.0,ITA,56797087.0,402270.0,4310.53796825883,159780.0,77456.5
245,Japan,0.327,1992.0,JPN,124425000.0,1115060.0,7023.53224834238,56150.0,249352.0
246,Kazakhstan,0.289,1992.0,KAZ,16439095.0,253840.0,5354.49183790227,2214630.0,31611.81
248,Latvia,1.582,1992.0,LVA,2614338.0,13970.0,2638.90897045447,25300.0,31866.0
250,Libya,-0.308,1992.0,LBY,4650896.0,26340.0,1752.99555182485,154650.0,2170.0
251,Lithuania,1.477,1992.0,LTU,3700114.0,19980.0,3166.92945136285,33890.0,19600.0
253,Malaysia,0.427,1992.0,MYS,19002660.0,67170.0,1419.16973728941,68065.0,204330.7
259,Morocco,0.222,1992.0,MAR,25711410.0,24880.0,402.117192328231,306160.0,54895.4
260,Myanmar,0.029,1992.0,MMR,42401686.0,4280.0,44.2199397448488,103980.0,383484.06
262,Netherlands,1.183,1992.0,NLD,15184166.0,153250.0,5441.65547189092,19860.0,3481.64
264,Nicaragua,0.505,1992.0,NIC,4364514.0,2240.0,301.980930751969,41200.0,61993.2
265,Nigeria,-0.074,1992.0,NGA,100161708.0,91810.0,90.0543748714828,644470.0,261994.8
266,Norway,1.124,1992.0,NOR,4286401.0,30200.0,23787.3218114684,10030.0,121282.0
268,Panama,0.288,1992.0,PAN,2575949.0,3640.0,910.344110073608,21500.0,45743.48
269,Paraguay,-0.333,1992.0,PRY,4445019.0,2470.0,558.15284479099,146949.82,250350.18
270,Philippines,0.404,1992.0,PHL,65020124.0,44020.0,335.265432591301,111150.0,76849.0
271,Poland,1.149,1992.0,POL,38363667.0,343370.0,2961.39573935933,187430.0,89174.0
273,Russian Federation,0.365,1992.0,RUS,148538197.0,2030810.0,6113.67997148908,2216310.0,8090136.2
275,Saudi Arabia,-0.974,1992.0,SAU,17282686.0,202040.0,4397.46460706397,1237460.0,9770.0
279,Slovenia,1.169,1992.0,SVN,1996498.0,12830.0,4943.1554652196,5640.0,11970.0
281,Spain,0.289,1992.0,ESP,39157685.0,232370.0,3690.59100403918,302790.0,145425.14
284,Sweden,1.375,1992.0,SWE,8668067.0,56750.0,15544.4114587485,33440.0,280830.0
285,Syrian Arab Republic,-1.079,1992.0,SYR,13187669.0,35150.0,702.322753171921,136130.0,3840.8
286,Thailand,0.36,1992.0,THA,57811025.0,107950.0,893.376306681987,213740.0,192884.0
287,Togo,0.086,1992.0,TGO,3945902.0,750.0,94.2750225423743,31950.0,13430.208
289,Tunisia,0.15,1992.0,TUN,8613855.0,16110.0,677.51314597239,93550.0,6487.515
290,Turkmenistan,-0.015,1992.0,TKM,3899843.0,28100.0,1998.28557200892,353500.0,41270.0
292,Ukraine,0.461,1992.0,UKR,52150400.0,574640.0,4313.5239614653,419290.0,93212.0
293,United Kingdom,0.505,1992.0,GBR,57580402.0,557890.0,5452.3933334123,180700.0,28132.0
294,Uruguay,0.129,1992.0,URY,3154459.0,4770.0,1366.0028550062,149250.0,9122.0
295,Uzbekistan,0.117,1992.0,UZB,21449000.0,113080.0,2128.35097207329,277240.0,26317.884
296,Zimbabwe,1.083,1992.0,ZWE,10900511.0,18470.0,787.210801401879,133500.0,187345.4
298,Algeria,0.618,1993.0,DZA,27635517.0,72220.0,547.990471826527,388620.0,16406.0
301,Armenia,-0.857,1993.0,ARM,3363111.0,5040.0,1195.02448774364,11810.0,3341.03
302,Australia,0.415,1993.0,AUS,17667000.0,273050.0,8701.76034414445,4600970.0,1332617.7
303,Azerbaijan,-0.925,1993.0,AZE,7494800.0,48050.0,2119.73635053637,44566.0,9574.84
304,Bahrain,0.089,1993.0,BHR,536212.0,13070.0,21644.4242202711,90.0,2.65
309,Bosnia and Herzegovina,0.274,1993.0,BIH,4078940.0,13400.0,707.781923735088,21900.0,21804.95
310,Brazil,0.523,1993.0,BRA,156849086.0,215260.0,1537.59263856979,2306406.0,5775551.8
311,Brunei Darussalam,0.195,1993.0,BRN,281684.0,3930.0,5268.31484926371,110.0,4082.0
314,Cameroon,0.274,1993.0,CMR,12864091.0,5770.0,190.996783216163,91600.0,222292.47
317,Chile,0.16,1993.0,CHL,13944934.0,32320.0,1514.74363378127,154770.0,154173.53
318,Colombia,0.243,1993.0,COL,35091272.0,55880.0,872.80962627972,449030.0,642913.48
319,Costa Rica,0.381,1993.0,CRI,3372298.0,4180.0,1332.91897691129,21130.0,28923.46
320,Croatia,0.403,1993.0,HRV,4600463.0,15540.0,2218.25498868266,22720.0,18605.0
321,Cyprus,-0.441,1993.0,CYP,818750.0,5740.0,3004.58015267176,1587.0,1642.6
323,Dominican Republic,0.355,1993.0,DOM,7546467.0,9520.0,512.822755337034,25460.0,17081.64
325,Estonia,0.577,1993.0,EST,1494128.0,18340.0,4049.8538277845,13200.0,22157.97
326,Ethiopia,0.222,1993.0,ETH,53295556.0,1940.0,23.3602966821474,305400.0,190395.0
328,France,0.295,1993.0,FRA,59106758.0,349420.0,6453.00153325953,302913.0,146916.0
330,Gabon,0.134,1993.0,GAB,1029769.0,4650.0,867.184776391598,20238.66,237431.34
331,Georgia,-1.158,1993.0,GEO,4911100.0,16090.0,1936.8369611696,31280.0,27547.9
332,Ghana,0.465,1993.0,GHA,16106756.0,3190.0,336.070155902281,128000.0,96015.65
333,Greece,-0.275,1993.0,GRC,10460415.0,78090.0,3459.42297700426,91600.0,33890.546
335,Guatemala,0.466,1993.0,GTM,9790619.0,5110.0,246.766828532496,44820.0,46096.0
337,Haiti,0.333,1993.0,HTI,7460684.0,690.0,28.5496611302663,15750.0,3822.39
338,Honduras,0.299,1993.0,HND,5394416.0,2900.0,341.834964155527,35480.0,69249.27
339,Iceland,0.107,1993.0,ISL,263725.0,1980.0,16737.131481657,19000.0,208.98
340,Indonesia,0.188,1993.0,IDN,190851184.0,185090.0,212.851705441869,420160.0,1133655.0
341,Iraq,-0.546,1993.0,IRQ,18955087.0,89560.0,1325.87099178178,98700.0,8082.0
343,Italy,0.499,1993.0,ITA,56831821.0,396930.0,4303.64531166439,159100.0,78236.0
344,Japan,0.008,1993.0,JPN,124829000.0,1107610.0,7077.36183098479,55740.0,249278.0
345,Kazakhstan,-0.371,1993.0,KAZ,16380672.0,219240.0,4527.8972681951,2217470.0,31606.491
347,Latvia,0.398,1993.0,LVA,2563290.0,11760.0,2048.14905843662,25140.0,31934.0
349,Libya,0.406,1993.0,LBY,4755134.0,30580.0,1808.5715355235,154650.0,2170.0
350,Lithuania,0.29,1993.0,LTU,3682613.0,15740.0,2494.42447522995,33330.0,19675.0
352,Malaysia,0.244,1993.0,MYS,19484901.0,73040.0,1533.70037651205,68914.0,203403.55
358,Morocco,0.252,1993.0,MAR,26155204.0,25580.0,402.099712164356,307110.0,54916.65
359,Myanmar,0.081,1993.0,MMR,42889992.0,4810.0,50.6645000073677,104460.0,379133.69
361,Netherlands,0.25,1993.0,NLD,15290368.0,158150.0,5494.11237191937,19880.0,3495.81
363,Nicaragua,0.41,1993.0,NIC,4462496.0,2200.0,291.540877571655,41900.0,60993.2
364,Nigeria,0.547,1993.0,NGA,102700751.0,86240.0,100.885338219192,650408.25,260361.75
365,Norway,0.702,1993.0,NOR,4311991.0,32430.0,23967.1186697746,10130.0,121263.0
367,Panama,0.413,1993.0,PAN,2629584.0,3800.0,958.706776433078,21500.0,45578.22
368,Paraguay,0.271,1993.0,PRY,4555518.0,2820.0,626.053941615421,149504.03,247795.97
369,Philippines,0.345,1993.0,PHL,66593904.0,47800.0,335.481157554601,110650.0,76379.45
370,Poland,0.071,1993.0,POL,38461408.0,344020.0,2977.71210039944,187150.0,89351.0
372,Russian Federation,0.955,1993.0,RUS,148458777.0,1880250.0,5726.4515926869,2187950.0,8090454.8
374,Saudi Arabia,-0.169,1993.0,SAU,17763297.0,203260.0,4745.12135894592,1307850.0,9770.0
378,Slovenia,0.575,1993.0,SVN,1991746.0,13560.0,4950.93249842098,5600.0,12015.0
380,Spain,-0.073,1993.0,ESP,39361262.0,218080.0,3638.52663057399,300330.0,148614.41
383,Sweden,0.81,1993.0,SWE,8718561.0,56500.0,15506.8020972727,33560.0,280930.0
384,Syrian Arab Republic,-0.525,1993.0,SYR,13565074.0,35880.0,687.279700796324,136420.0,3900.8
385,Thailand,0.312,1993.0,THA,58337773.0,122720.0,1008.52324273674,212450.0,192521.0
386,Togo,0.492,1993.0,TGO,4029044.0,630.0,69.9917896156011,33000.0,13337.012
388,Tunisia,0.809,1993.0,TUN,8795934.0,16410.0,699.073003503664,94220.0,6511.388
389,Turkmenistan,-0.112,1993.0,TKM,4010789.0,26970.0,2062.9357465576,354500.0,41270.0
391,Ukraine,-0.738,1993.0,UKR,52179200.0,499310.0,3953.28023426959,418900.0,93448.0
392,United Kingdom,-0.031,1993.0,GBR,57718614.0,541380.0,5491.98911810322,175340.0,28308.0
393,Uruguay,0.254,1993.0,URY,3177734.0,4490.0,1454.81025158179,149300.0,9693.0
394,Uzbekistan,-0.215,1993.0,UZB,21942000.0,114590.0,2018.22987877131,276470.0,26729.974
395,Zimbabwe,0.412,1993.0,ZWE,11092775.0,17080.0,737.236624739977,135200.0,186884.7
397,Algeria,0.796,1994.0,DZA,28213777.0,73610.0,550.971959550116,396400.0,16318.0
400,Armenia,0.574,1994.0,ARM,3283664.0,2740.0,1045.47846551901,12000.0,3338.94
401,Australia,0.166,1994.0,AUS,17855000.0,280180.0,8812.48949873985,4691430.0,1330549.6
402,Azerbaijan,0.194,1994.0,AZE,7596550.0,33520.0,1961.94325055453,44860.0,9617.32
403,Bahrain,0.954,1994.0,BHR,549590.0,13370.0,20477.0829163558,90.0,2.8
408,Bosnia and Herzegovina,1.715,1994.0,BIH,3936527.0,3160.0,893.935187031614,21800.0,21706.6
409,Brazil,0.624,1994.0,BRA,159432717.0,222500.0,1566.76123132243,2292208.0,5737742.4
410,Brunei Darussalam,0.379,1994.0,BRN,289452.0,4270.0,5579.50886502771,110.0,4066.0
413,Cameroon,0.36,1994.0,CMR,13230978.0,4620.0,167.258988715725,91600.0,221389.96
416,Chile,0.186,1994.0,CHL,14166346.0,35640.0,1588.69478410311,154500.0,154744.54
417,Colombia,0.253,1994.0,COL,35758978.0,56780.0,910.288879061365,448650.0,640690.84
418,Costa Rica,0.286,1994.0,CRI,3458829.0,4850.0,1267.48098850796,20950.0,28873.28
419,Croatia,1.718,1994.0,HRV,4652024.0,14870.0,2203.12706899191,23120.0,18640.0
420,Cyprus,1.033,1994.0,CYP,837104.0,5980.0,3058.16242665189,1434.0,1653.1
422,Dominican Republic,0.818,1994.0,DOM,7683707.0,11140.0,531.123844259028,25460.0,17459.22
424,Estonia,0.379,1994.0,EST,1462514.0,17820.0,4354.83010760923,11010.0,22190.96
425,Ethiopia,0.596,1994.0,ETH,55180993.0,2260.0,23.6675697372825,304720.0,189665.0
427,France,1.518,1994.0,FRA,59327200.0,344400.0,6530.41100877844,302049.0,147768.0
429,Gabon,0.19,1994.0,GAB,1057252.0,4620.0,766.137117735412,20300.28,237369.72
430,Georgia,0.523,1994.0,GEO,4836076.0,10440.0,1988.59571272246,30970.0,27556.2
431,Ghana,0.534,1994.0,GHA,16561677.0,3460.0,336.137457577515,129000.0,94940.0
432,Greece,1.12,1994.0,GRC,10512922.0,79730.0,3598.52379766539,91700.0,34192.224
434,Guatemala,0.733,1994.0,GTM,10037522.0,5430.0,269.986954947645,45120.0,45524.0
436,Haiti,1.031,1994.0,HTI,7602318.0,190.0,18.678513579674,15950.0,3820.12
437,Honduras,0.845,1994.0,HND,5548969.0,3250.0,304.561081527037,35200.0,69039.76
438,Iceland,-0.213,1994.0,ISL,266021.0,2090.0,17066.3218317351,19000.0,221.74
439,Indonesia,0.25,1994.0,IDN,193917458.0,199180.0,240.045432113699,419710.0,1116390.0
440,Iraq,0.928,1994.0,IRQ,19539348.0,102120.0,1374.04789555926,93500.0,8096.0
442,Italy,1.492,1994.0,ITA,56843400.0,392290.0,4439.31925254295,157020.0,79015.5
443,Japan,0.964,1994.0,JPN,125178000.0,1160780.0,7509.53042866957,55330.0,249204.0
444,Kazakhstan,-0.041,1994.0,KAZ,16145766.0,199170.0,4327.14062621742,2216510.0,31601.172
446,Latvia,0.684,1994.0,LVA,2520742.0,10220.0,1973.22851763489,25400.0,32002.0
448,Libya,0.53,1994.0,LBY,4854871.0,38640.0,1820.4397192016,154750.0,2170.0
449,Lithuania,0.941,1994.0,LTU,3657144.0,14810.0,2498.94453157983,31260.0,19750.0
451,Malaysia,0.371,1994.0,MYS,19977508.0,79740.0,1785.10753193041,69909.0,202476.4
457,Morocco,1.105,1994.0,MAR,26584473.0,27710.0,421.373784614801,309640.0,54937.9
458,Myanmar,0.403,1994.0,MMR,43383421.0,5650.0,53.9837556839974,104210.0,374783.32
460,Netherlands,1.367,1994.0,NLD,15382838.0,157260.0,5643.10694814572,19710.0,3509.98
462,Nicaragua,0.713,1994.0,NIC,4559010.0,2530.0,278.788596647079,42200.0,59993.2
463,Nigeria,0.478,1994.0,NGA,105293701.0,78330.0,95.5612719891003,652041.3,258728.7
464,Norway,0.073,1994.0,NOR,4336613.0,34410.0,24247.263936164,10300.0,121244.0
466,Panama,0.335,1994.0,PAN,2684117.0,4040.0,1012.25095627352,21350.0,45412.96
467,Paraguay,0.888,1994.0,PRY,4666096.0,3340.0,700.585671619272,160320.0,245241.76
468,Philippines,0.429,1994.0,PHL,68180846.0,51510.0,377.481382381204,110150.0,75909.9
469,Poland,1.373,1994.0,POL,38542652.0,339750.0,2993.17753225699,187070.0,89528.0
471,Russian Federation,0.577,1994.0,RUS,148407912.0,1685050.0,5188.21395452286,2177110.0,8090773.4
473,Saudi Arabia,0.656,1994.0,SAU,18214475.0,206360.0,4834.94583291585,1377850.0,9770.0
477,Slovenia,1.889,1994.0,SVN,1989443.0,13610.0,5240.16018553937,5490.0,12060.0
479,Spain,1.023,1994.0,ESP,39549108.0,228450.0,3756.03920068185,301830.0,151803.68
482,Sweden,0.197,1994.0,SWE,8780745.0,58490.0,15290.6160012619,33560.0,281030.0
483,Syrian Arab Republic,1.314,1994.0,SYR,13950486.0,37440.0,751.443354733305,137860.0,3960.8
484,Thailand,0.335,1994.0,THA,58875275.0,137060.0,1106.33878143244,211200.0,192158.0
485,Togo,0.463,1994.0,TGO,4120615.0,910.0,78.1436751552863,33000.0,13243.816
487,Tunisia,1.495,1994.0,TUN,8967916.0,16420.0,751.23361994024,92830.0,6535.261
488,Turkmenistan,0.341,1994.0,TKM,4115105.0,33550.0,1668.97320967509,354500.0,41270.0
490,Ukraine,1.151,1994.0,UKR,51921400.0,415670.0,3475.13741925295,418610.0,93684.0
491,United Kingdom,0.398,1994.0,GBR,57865745.0,535180.0,5380.26426515376,174090.0,28484.0
492,Uruguay,0.421,1994.0,URY,3201149.0,4270.0,1486.65369840642,149340.0,10264.0
493,Uzbekistan,-0.036,1994.0,UZB,22377000.0,108880.0,1924.47602448943,276400.0,27142.065
494,Zimbabwe,-0.03,1994.0,ZWE,11261752.0,15960.0,777.587714593609,137200.0,186424.0
496,Algeria,0.649,1995.0,DZA,28757788.0,76440.0,559.91789076406,396490.0,16230.0
499,Armenia,0.77,1995.0,ARM,3217349.0,3510.0,1050.24353901302,12440.0,3336.85
500,Australia,0.347,1995.0,AUS,18072000.0,290180.0,8994.35590969456,4633880.0,1328481.5
501,Azerbaijan,1.104,1995.0,AZE,7684850.0,32470.0,1952.02248579998,44891.0,9659.8
502,Bahrain,0.201,1995.0,BHR,563698.0,13540.0,20553.5588205032,90.0,2.95
507,Bosnia and Herzegovina,0.311,1995.0,BIH,3829049.0,3370.0,959.246016439069,21750.0,21608.25
508,Brazil,0.82,1995.0,BRA,162019889.0,241280.0,1634.3981077533,2278050.0,5699933.0
509,Brunei Darussalam,0.398,1995.0,BRN,297112.0,4600.0,6384.79765206387,100.0,4050.0
512,Cameroon,0.421,1995.0,CMR,13599984.0,4680.0,160.073717733786,91600.0,220487.45
515,Chile,-0.086,1995.0,CHL,14380864.0,38970.0,1745.37496495343,153300.0,155315.55
516,Colombia,0.533,1995.0,COL,36421438.0,59310.0,920.47436457616,445130.0,638468.2
517,Costa Rica,-0.025,1995.0,CRI,3545524.0,4810.0,1281.33387335694,20480.0,28823.1
